FCSTDATE,FCSTTIME,TMP,UUU,VVV,VEC,WSD,SKY,PTY,POP,WAV,PCP,REH,SNO,TMX,TMN
20220425,1200,21,-0.1,0.5,158,0.5,4,0,30,0,강수없음,70,적설없음,,
20220425,1300,22,0.1,0.8,187,0.8,3,0,20,0,강수없음,70,적설없음,,
20220425,1400,23,0.3,1,197,1,3,0,20,0,강수없음,65,적설없음,,
20220425,1500,24,0.8,1,219,1.3,3,0,20,0,강수없음,60,적설없음,,26.0
20220425,1600,24,1.1,0.6,241,1.3,3,0,20,0,강수없음,55,적설없음,,
20220425,1700,24,0.8,-0.2,284,0.8,3,0,20,0,강수없음,55,적설없음,,
20220425,1800,23,0.5,-0.4,309,0.6,3,0,20,0,강수없음,65,적설없음,,
20220425,1900,22,0,-0.6,9,0.6,4,0,30,0,강수없음,65,적설없음,,
20220425,2000,21,0,-1,6,1,4,0,30,0,강수없음,65,적설없음,,
20220425,2100,21,-0.6,-0.9,38,1.1,4,0,30,0,강수없음,70,적설없음,,
20220425,2200,20,-0.8,-1.1,39,1.4,4,0,30,0,강수없음,70,적설없음,,
20220425,2300,20,-0.1,1.1,170,1.1,4,0,30,0,강수없음,70,적설없음,,
20220426,0000,19,-0.4,1.4,160,1.5,4,0,30,0,강수없음,70,적설없음,,
20220426,0100,19,-1.2,-2.3,29,2.6,4,1,85,0,2.0mm,70,적설없음,,
20220426,0200,18,-3.8,-1.3,72,4.1,4,1,74,0,3.0mm,80,적설없음,,
20220426,0300,18,-3.2,-0.2,87,3.3,4,1,60,0,2.0mm,85,적설없음,,
20220426,0400,18,-3.8,-0.8,78,4,4,1,60,0,2.0mm,85,적설없음,,
20220426,0500,17,-2.6,-2,53,3.4,4,1,60,0,2.0mm,85,적설없음,,
20220426,0600,17,-1,-1.9,30,2.2,4,1,60,0,2.0mm,80,적설없음,17.0,
20220426,0700,17,-1.1,-1.5,39,1.9,4,1,60,0,1.0mm,80,적설없음,,
20220426,0800,18,-1.1,-1.4,41,1.8,4,0,30,0,강수없음,75,적설없음,,
20220426,0900,19,0.1,-1.5,356,1.5,4,0,30,0,강수없음,75,적설없음,,
20220426,1000,20,-0.1,-1.8,6,1.8,3,0,20,0,강수없음,65,적설없음,,
20220426,1100,22,-0.1,-1.1,10,1.1,3,0,20,0,강수없음,60,적설없음,,
20220426,1200,25,1.1,-2.4,335,2.6,1,0,0,0,강수없음,45,적설없음,,
20220426,1300,26,1.4,-2.1,326,2.5,1,0,0,0,강수없음,45,적설없음,,
20220426,1400,27,2.3,-1.4,301,2.7,1,0,0,0,강수없음,45,적설없음,,
20220426,1500,26,3,-1.3,293,3.3,1,0,0,0,강수없음,45,적설없음,,28.0
20220426,1600,26,3.2,-2.3,306,3.9,1,0,0,0,강수없음,45,적설없음,,
20220426,1700,25,3,-2.3,307,3.8,1,0,0,0,강수없음,50,적설없음,,
20220426,1800,24,2.3,-0.5,282,2.4,1,0,0,0,강수없음,50,적설없음,,
20220426,1900,22,2.2,0.4,260,2.2,1,0,0,0,강수없음,55,적설없음,,
20220426,2000,19,2.4,-0.4,279,2.4,1,0,0,0,강수없음,65,적설없음,,
20220426,2100,19,2.4,-1.9,308,3.1,1,0,0,0,강수없음,65,적설없음,,
20220426,2200,17,2.1,-1.9,312,2.8,1,0,0,0,강수없음,60,적설없음,,
20220426,2300,17,2.2,-1.7,308,2.8,1,0,0,0,강수없음,55,적설없음,,
20220427,0000,15,1.7,-1.8,317,2.5,1,0,0,0,강수없음,40,적설없음,,
20220427,0100,15,1.4,-2.3,329,2.7,1,0,0,0,강수없음,35,적설없음,,
20220427,0200,14,1.4,-1.6,319,2.1,1,0,0,0,강수없음,30,적설없음,,
20220427,0300,13,1.7,-2.3,324,2.9,1,0,0,0,강수없음,30,적설없음,,
20220427,0400,12,1.4,-1.9,324,2.4,1,0,0,0,강수없음,35,적설없음,,
20220427,0500,12,1.4,-2,325,2.4,1,0,0,0,강수없음,40,적설없음,,
20220427,0600,11,1.1,-1.5,324,1.9,1,0,0,0,강수없음,40,적설없음,11.0,
